,target,date,user,text
0,0,Mon Apr 06 22:26:27 PDT 2009,Dogbook,strider sick little puppy
1,0,Mon Apr 06 22:26:48 PDT 2009,Dogbook,emily glad mommy done training new job miss
2,0,Mon Apr 06 22:31:37 PDT 2009,Hollywood_Trey,page sooooo long got deleted sad day history
3,0,Mon Apr 06 22:48:35 PDT 2009,TidyCat,lol nope complete
4,0,Mon Apr 06 22:57:44 PDT 2009,Hollywood_Trey,please tell somewhere close california lol
5,0,Mon Apr 06 23:00:34 PDT 2009,twishes,wish frog becoming extinct
6,0,Mon Apr 06 23:35:06 PDT 2009,Dogbook,jade looking new home
7,0,Mon Apr 06 23:37:47 PDT 2009,tsarnick,heard hannah yet disappointing
8,0,Mon Apr 06 23:47:49 PDT 2009,MyAppleStuff,run great thanks windy today bike ride option morning
9,0,Mon Apr 06 23:52:41 PDT 2009,Hollywood_Trey,ur gon na delete like feel like quot tom cruise quot jerry maguire got fired right yo lol
10,0,Mon Apr 06 23:53:53 PDT 2009,paul_steele,please watch vid tell moved
11,0,Mon Apr 06 23:53:59 PDT 2009,Samm_xo,u write back twitter miss ya garee x
12,0,Mon Apr 06 23:55:29 PDT 2009,paul_steele,good close current challenge
13,0,Tue Apr 07 00:03:32 PDT 2009,Hollywood_Trey,saying 2 may change ur twitter game like u way u r
14,0,Tue Apr 07 00:05:41 PDT 2009,paul_steele,thanks know video harrowing especially last 2 minute must admit cried
15,0,Tue Apr 07 00:07:46 PDT 2009,TessMorris,right got stinking headache need run happy bunny
16,0,Tue Apr 07 00:07:47 PDT 2009,paul_steele,sorry say vid hit hard please beware last 2 minute especially
17,0,Tue Apr 07 00:19:23 PDT 2009,ramdomthoughts,morning sun unfortunately
18,0,Tue Apr 07 00:22:40 PDT 2009,sebby_peek,going watch julian play bball want phoebe
19,0,Tue Apr 07 00:41:38 PDT 2009,MiDesfileNegro,8 40am awake nearly 2 hour
20,0,Tue Apr 07 00:47:07 PDT 2009,Hollywood_Trey,got sorry understand ur last tweet
21,0,Tue Apr 07 01:02:47 PDT 2009,marco_cali,photo
22,0,Tue Apr 07 01:20:58 PDT 2009,VioletsCRUK,hello im coffee morning get winding yesterday lol good day
23,0,Tue Apr 07 01:23:27 PDT 2009,SarahSaner,u mike understand say think u need change opinion good lol
24,0,Tue Apr 07 01:32:50 PDT 2009,Karen230683,want somewhere rain nice today
25,0,Tue Apr 07 01:55:05 PDT 2009,MyAppleStuff,good luck look forward update run option wind seriously blowing real gale
26,0,Tue Apr 07 02:25:21 PDT 2009,krist0ph3r,yesh bank holiday everyone else working train traffic everything screwed usual
27,0,Tue Apr 07 02:26:46 PDT 2009,Hollywood_Trey,wan na c quot doubt quot soooo bad
28,0,Tue Apr 07 02:39:39 PDT 2009,wyndwitch,
29,0,Tue Apr 07 02:42:35 PDT 2009,Djalfy,anyone else miss chatting chat room find one feel comfortable suggestion please
30,0,Tue Apr 07 02:48:43 PDT 2009,MyAppleStuff,morning thing italy today depressing imagine bad news
31,0,Tue Apr 07 02:56:09 PDT 2009,bigenya,division one
32,0,Tue Apr 07 03:06:10 PDT 2009,rgoodchild,oh poor thing used ot love squeezing pu vet nurse kinda gross really
33,0,Tue Apr 07 03:12:37 PDT 2009,Jayme1988,healthy eating kick could shetland pony
34,0,Tue Apr 07 03:16:35 PDT 2009,bigenya,difficulty gtalk closing division day later everyone
35,0,Tue Apr 07 03:23:14 PDT 2009,sebby_peek,get kinda annoyed apparent reason religion homework english
36,0,Tue Apr 07 03:23:58 PDT 2009,BrandyWandLover,need better tweet rus mine answer question actual love
37,0,Tue Apr 07 03:24:37 PDT 2009,krist0ph3r,err storm ended sure devastated
38,0,Tue Apr 07 04:14:47 PDT 2009,tsarnick,like day
39,0,Tue Apr 07 04:18:06 PDT 2009,TessMorris,might stop following particular celeb ruining liking
